"","GUBID","ISOALPHA","COUNTRYNM","NAME1","NAME2","NAME3","NAME4","NAME5","NAME6","CENTROID_X","CENTROID_Y","INSIDE_X","INSIDE_Y","CONTEXT","CONTEXT_NM","WATER_CODE","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","UN_2000_E","UN_2005_E","UN_2010_E","UN_2015_E","UN_2020_E","UN_2000_DS","UN_2005_DS","UN_2010_DS","UN_2015_DS","UN_2020_DS","B_2010_E","F_2010_E","M_2010_E","A00_04B","A05_09B","A10_14B","A15_19B","A20_24B","A25_29B","A30_34B","A35_39B","A40_44B","A45_49B","A50_54B","A55_59B","A60_64B","A65PLUSB","A65_69B","A70PLUSB","A70_74B","A75PLUSB","A75_79B","A80PLUSB","A80_84B","A85PLUSB","A00_04F","A05_09F","A10_14F","A15_19F","A20_24F","A25_29F","A30_34F","A35_39F","A40_44F","A45_49F","A50_54F","A55_59F","A60_64F","A65PLUSF","A65_69F","A70PLUSF","A70_74F","A75PLUSF","A75_79F","A80PLUSF","A80_84F","A85PLUSF","A00_04M","A05_09M","A10_14M","A15_19M","A20_24M","A25_29M","A30_34M","A35_39M","A40_44M","A45_49M","A50_54M","A55_59M","A60_64M","A65PLUSM","A65_69M","A70PLUSM","A70_74M","A75PLUSM","A75_79M","A80PLUSM","A80_84M","A85PLUSM","within_5km_of_coast","distance_to_coast_km"
"1","{7B00A2EB-574C-4062-A02A-850E798B336C}","CAN","Canada","Quebec / Quebec","La Mitis","Metis-sur-Mer","24090035","2409003521",NA,-67.9362582102615,48.6833231488569,-67.9362582102615,48.6833231488569,205,"Uninhabited","L",1.14352123538343,0,1.14352123538343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,4.1171749827155
"2","{43123380-70AA-4AA4-9685-65A81F2562DD}","ITA","Italy","Campania","Napoli","Bacoli","630060000036",NA,NA,14.0637066483723,40.8161351816318,14.0637066483723,40.8161351816318,0,"Not applicable","L",0.146260909370935,0,0.146260909370935,894,902,899,884,863,6112.3645671634,6167.06134181363,6146.55005131979,6043.99359885061,5900.41456539375,892.52636682323,451.760266297984,440.766100525246,30.9835580868086,25.9862100082911,27.9851492396981,55.9702984793962,83.9554477190944,67.9639338678383,59.9681769422103,51.9724200165822,45.9756023223612,52.9718896322857,71.9618123306523,86.9538565662049,87.9533261819084,141.924685429898,67.9639338678383,73.9607515620593,38.9793150124367,34.9814365496227,0,0,0,0,18.9899226983666,12.9931050041456,11.9936353884421,28.9846188554016,34.9814365496227,31.9830277025121,30.9835580868086,24.9867403925876,25.9862100082911,31.9830277025121,42.9771934752507,46.9750719380647,41.9777238595472,65.9649946364313,26.9856796239946,38.9793150124367,21.9883315454771,16.9909834669596,0,0,0,0,11.9936353884421,12.9931050041456,15.9915138512561,26.9856796239946,48.9740111694717,35.9809061653262,28.9846188554016,26.9856796239946,19.9893923140701,20.9888619297736,28.9846188554016,39.9787846281402,45.9756023223612,75.9596907934663,40.9782542438437,34.9814365496227,16.9909834669596,17.9904530826631,0,0,0,0,TRUE,1.45411556693245
"3","{AFD17068-7D90-45E3-8C15-89BE59137220}","BRA","Brazil","Rio de Janeiro","DUQUE DE CAXIAS","DUQUE DE CAXIAS","DUQUE DE CAXIAS","330170205000064",NA,-43.296485960993,-22.784912696017,-43.296485960993,-22.784912696017,0,"Not applicable","L",0.0271381979793011,0,0.0271381979793011,506,538,561,579,591,18640.8049545503,19836.8956742962,20680.4784948573,21337.0490547316,21778.2409328217,539,297,242,24,37,38,37,38,45,43,36,42,50,39,35,19,56,15,41,12,29,8,21,14,7,9,15,16,21,27,22,28,18,28,26,17,22,11,37,9,28,6,22,5,17,11,6,15,22,22,16,11,23,15,18,14,24,22,13,8,19,6,13,6,7,3,4,3,1,TRUE,2.68703545120312
"4","{C3B98A93-F207-47ED-8432-4DD280A7DC81}","IRL","Ireland","Munster","Cork County","Douglas","047132045",NA,NA,-8.3775231533561,51.8821618809094,-8.3775231533561,51.8821618809094,0,"Not applicable","L",4.91619865522917,0,4.91619865522917,168,194,221,230,241,34.1727443868252,39.4613833990719,44.9534316040974,46.7841143391059,49.0216154596718,215.975008904239,109.453398177714,106.521610726525,13.6816747722143,18.5679871908622,11.7271498047551,13.6816747722143,12.7044122884847,12.7044122884847,19.5452496745918,14.6589372559439,18.5679871908622,12.7044122884847,9.7726248372959,10.7498873210255,15.6361997396734,31.2723994793469,11.7271498047551,19.5452496745918,5.86357490237754,13.6816747722143,6.84083738610713,6.84083738610713,2.93178745118877,3.90904993491836,7.81809986983672,11.7271498047551,6.84083738610713,6.84083738610713,4.88631241864795,7.81809986983672,10.7498873210255,6.84083738610713,8.79536235356631,8.79536235356631,2.93178745118877,4.88631241864795,7.81809986983672,12.7044122884847,2.93178745118877,9.7726248372959,2.93178745118877,6.84083738610713,1.95452496745918,4.88631241864795,2.93178745118877,1.95452496745918,5.86357490237754,6.84083738610713,4.88631241864795,6.84083738610713,7.81809986983672,4.88631241864795,8.79536235356631,7.81809986983672,9.7726248372959,3.90904993491836,6.84083738610713,5.86357490237754,7.81809986983672,18.5679871908622,8.79536235356631,9.7726248372959,2.93178745118877,6.84083738610713,4.88631241864795,1.95452496745918,0,1.95452496745918,TRUE,1.25964340531413
"5","{BB612B61-922C-42CE-A4A6-3E91BC9BF114}","BRA","Brazil","Rio Grande do Norte","TOUROS","TOUROS","TOUROS","241440705000033",NA,-35.4737808876127,-5.19110810549184,-35.4737808876127,-5.19110810549184,0,"Not applicable","L",0.14473163137932,0,0.14473163137932,748,801,839,871,894,5169.53224591476,5531.57640287518,5798.61678943003,6015.70873877593,6173.9607332358,806,394,412,66,92,109,76,66,70,69,73,48,34,20,22,18,43,14,29,13,16,7,9,5,4,30,45,54,34,32,29,40,35,24,19,7,15,12,18,10,8,5,3,2,1,0,1,36,47,55,42,34,41,29,38,24,15,13,7,6,25,4,21,8,13,5,8,5,3,TRUE,1.06632969308136
"6","{80F922BA-A52C-4BA8-A966-3013DB4684E2}","PRI","Puerto Rico","San Juan Municipio","Census Tract 89","Block Group 2","Block 2001",NA,NA,-66.0520730286319,18.393605370786,-66.0520730286319,18.393605370786,0,"Not applicable","L",0.00397242984381281,0,0.00397242984381281,66,63,60,57,55,16614.5162016636,15859.3109197698,15104.105637876,14348.9003559822,13845.430168053,60,31,29,2,5,0,5,10,3,3,2,4,7,3,4,3,9,3,6,2,4,2,2,1,1,1,4,0,2,3,0,1,0,4,3,2,2,2,7,3,4,1,3,2,1,1,0,1,1,0,3,7,3,2,2,0,4,1,2,1,2,0,2,1,1,0,1,0,1,TRUE,4.27967339631205
"7","{170304BB-0958-4EEE-998B-E5F5719876A3}","NZL","New Zealand","Chatham Islands Territory","Chatham Islands","MB 2717000",NA,NA,NA,-176.56870038963,-43.9496609157706,-176.56870038963,-43.9496609157706,0,"Not applicable","L",1.32499011469434,0,1.32499011469434,43,44,45,44,44,32.4530723083317,33.2077949201533,33.962517531975,33.2077949201533,33.2077949201533,42.268851901279,19.5087008775134,22.7601510237656,2.7830295176033,3.67812024060854,2.16491794892961,1.51320229167893,2.82783496903929,2.16491794892961,2.38589028896617,2.7830295176033,3.44594653771298,3.23617556053542,4.72697512649635,3.02640458335785,2.7942308804623,4.73817648935535,1.07125761160581,3.66691887774954,1.72297326885649,1.94394560889305,1.0824589744648,0.861486634428245,0.640514294391686,0.220972340036559,1.67816781742051,1.46839684024294,0.839083908710253,0.62931293153269,0.839083908710253,0.839083908710253,0.839083908710253,1.67816781742051,1.67816781742051,1.46839684024294,2.51725172613076,1.25862586306538,1.46839684024294,2.3074807489532,0.62931293153269,1.67816781742051,0.839083908710253,0.839083908710253,0.419541954355127,0.419541954355127,0.419541954355127,0,1.1048617001828,2.20972340036559,1.32583404021936,0.883889360146237,1.98875106032903,1.32583404021936,1.54680638025592,1.1048617001828,1.76777872029247,1.76777872029247,2.20972340036559,1.76777872029247,1.32583404021936,2.43069574040215,0.441944680073119,1.98875106032903,0.883889360146237,1.1048617001828,0.662917020109678,0.441944680073119,0.220972340036559,0.220972340036559,TRUE,1.10324025071126
"8","{6FCB660D-72B2-4A75-AC55-2EA2232C6E14}","GBR","United Kingdom of Great Britain and Northern Ireland","England","YORKSHIRE AND THE HUMBER","Kingston upon Hull, City of UA","Kingston upon Hull 029","Kingston upon Hull 029E","E00064815",-0.334899504896368,53.7392726144292,-0.334899504896368,53.7392726144292,0,"Not applicable","L",0.129011287302894,0,0.129011287302894,177,180,185,189,192,1371.97297771658,1395.22675699991,1433.98305580546,1464.9880948499,1488.24187413324,185.048638054623,85.5601229714926,99.4885150831309,0,0,0,1.98977030166262,27.8567842232766,24.8721287707827,26.8618990724453,12.933506960807,8.95396635748178,10.9437366591444,10.9437366591444,6.96419605581916,12.933506960807,39.7954060332524,4.97442575415654,34.8209802790958,9.94885150831309,24.8721287707827,10.9437366591444,13.9283921116383,2.98465545249393,10.9437366591444,0,0,0,1.98977030166262,18.9028178657949,8.95396635748178,1.98977030166262,7.95908120665047,4.97442575415654,4.97442575415654,1.98977030166262,1.98977030166262,2.98465545249393,28.851669374108,3.97954060332524,24.8721287707827,5.96931090498785,18.9028178657949,6.96419605581916,11.9386218099757,2.98465545249393,8.95396635748178,0,0,0,0,8.95396635748178,15.9181624133009,24.8721287707827,4.97442575415655,3.97954060332524,5.96931090498785,8.95396635748178,4.97442575415655,9.94885150831309,10.9437366591444,0.994885150831309,9.94885150831309,3.97954060332524,5.96931090498785,3.97954060332524,1.98977030166262,0,1.98977030166262,TRUE,0.992753858736135
"9","{2030A673-D809-43AD-994A-90D8DDFDD4B2}","CAN","Canada","New Brunswick / Nouveau-Brunswick","Westmorland","Moncton","13070129","1307012904",NA,-64.7779499249987,46.0927500287254,-64.7779499249987,46.0927500287254,205,"Uninhabited","L",0.0126898185055119,0,0.0126898185055119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1.70028053005426
"10","{B3108FA2-CFFB-4207-A655-2E58C6AA4F81}","GRC","Greece","Region of Kriti","Regional Unit of Iraklio","Municipality of Iraklio","Municipal Unit of Nea Alikarnassos","Municipal Commune of Nea Alikarnassos",NA,25.1734446751016,35.3346033602764,25.1734446751016,35.3346033602764,0,"Not applicable","L",7.88909096238812,0,7.88909096238812,12383,12881,13388,13503,13731,1569.63585019326,1632.7609938092,1697.02695327363,1711.60404467088,1740.5047128324,12968.902692025,6623.35090040027,6345.55179162475,793.296462221022,720.250278534411,723.231755419579,785.544622319586,949.823998692332,994.620688891978,1111.27097202417,1063.86548955,1061.40577111974,859.336175227489,813.719578884422,700.572531092304,650.334645577226,1741.62972247077,482.253886175892,1259.37583629488,447.892365074333,811.483471220546,359.938796961883,451.544674258663,266.69310737826,184.851566880404,384.163296653871,353.826769347289,350.323534007217,371.34294604765,459.371051082229,505.658479724459,562.381077464777,539.721853137501,551.87137144456,453.259023467635,425.456751513445,364.112864601118,326.099034315228,975.762847593292,248.058876845961,727.703970747331,244.332030739501,483.37194000783,204.529314322511,278.842625685319,157.943737991764,120.898887693554,409.133165567151,366.423509187122,372.908221412362,414.201676271936,490.452947610103,488.962209167519,548.889894559392,524.143636412499,509.534399675177,406.077151759854,388.262827370976,336.459666491186,324.235611261998,765.866874877478,234.195009329931,531.671865547548,203.560334334831,328.111531212716,155.409482639371,172.702048573345,108.749369386495,63.9526791868493,TRUE,1.85253040640532
