"","GUBID","ISOALPHA","COUNTRYNM","NAME1","NAME2","NAME3","NAME4","NAME5","NAME6","CENTROID_X","CENTROID_Y","INSIDE_X","INSIDE_Y","CONTEXT","CONTEXT_NM","WATER_CODE","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","UN_2000_E","UN_2005_E","UN_2010_E","UN_2015_E","UN_2020_E","UN_2000_DS","UN_2005_DS","UN_2010_DS","UN_2015_DS","UN_2020_DS","B_2010_E","F_2010_E","M_2010_E","A00_04B","A05_09B","A10_14B","A15_19B","A20_24B","A25_29B","A30_34B","A35_39B","A40_44B","A45_49B","A50_54B","A55_59B","A60_64B","A65PLUSB","A65_69B","A70PLUSB","A70_74B","A75PLUSB","A75_79B","A80PLUSB","A80_84B","A85PLUSB","A00_04F","A05_09F","A10_14F","A15_19F","A20_24F","A25_29F","A30_34F","A35_39F","A40_44F","A45_49F","A50_54F","A55_59F","A60_64F","A65PLUSF","A65_69F","A70PLUSF","A70_74F","A75PLUSF","A75_79F","A80PLUSF","A80_84F","A85PLUSF","A00_04M","A05_09M","A10_14M","A15_19M","A20_24M","A25_29M","A30_34M","A35_39M","A40_44M","A45_49M","A50_54M","A55_59M","A60_64M","A65PLUSM","A65_69M","A70PLUSM","A70_74M","A75PLUSM","A75_79M","A80PLUSM","A80_84M","A85PLUSM","within_5km_of_coast","distance_to_coast_km"
"1","{55A683D8-9798-4C29-911F-2232DCDFA74A}","PHL","Philippines","Catanduanes","Panganiban (Payo)","San Nicolas (Pob.)",NA,NA,NA,124.295869801775,13.9103257656784,124.295869801775,13.9103257656784,0,"Not applicable","L",0.216281811672987,0,0.216281811672987,414,470,512,552,585,1916.41064150407,2172.56155704612,2366.69126163741,2550.16307868999,2704.19379436825,508,238,270,49,54,51,57,33,34,21,25,32,26,19,15,18,74,21,53,21,32,16,16,0,0,21,18,23,25,18,18,9,15,13,10,12,6,9,41,10,31,14,17,7,10,0,0,28,36,28,32,15,16,12,10,19,16,7,9,9,33,11,22,7,15,9,6,0,0,TRUE,1.11702319043105
"2","{A7A91321-85CE-440B-AD41-4B7EC430E0F8}","PRI","Puerto Rico","San Juan Municipio","Census Tract 66 (part)","Block Group 3","Block 3009",NA,NA,-66.0567594350284,18.4028377151011,-66.0567594350284,18.4028377151011,0,"Not applicable","L",0.0088609927951368,0,0.0088609927951368,74,71,68,65,62,8351.20868630134,8012.64617199182,7674.08365768231,7335.5211433728,6996.95862906328,68,23,45,5,2,0,3,15,9,5,4,4,5,6,2,3,5,3,2,1,1,1,0,0,0,2,0,0,2,9,5,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,2,0,1,6,4,5,3,4,5,5,1,2,4,2,2,1,1,1,0,0,0,TRUE,3.09135982369811
"3","{2C5B7577-D1A1-4488-A25D-5C1520188456}","CAN","Canada","Quebec / Quebec","Montreal","Montreal","24662176","2466217604",NA,-73.6090147558539,45.4272577628282,-73.6090147558539,45.4272577628282,205,"Uninhabited","L",0.111006836062348,0,0.111006836062348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.671590176086623
"4","{1706E252-04B3-48A3-A2E4-6E105BFF2965}","ITA","Italy","Abruzzo","Pescara","Pescara","680280000544",NA,NA,14.2295306785478,42.4594592197563,14.2295306785478,42.4594592197563,0,"Not applicable","L",0.00527224745346574,0,0.00527224745346574,28,28,28,28,27,5310.8281140321,5310.8281140321,5310.8281140321,5310.8281140321,5121.1556813881,27.9788985872403,18.9856811841988,8.99321740304153,0.999246378115725,4.99623189057863,3.9969855124629,1.99849275623145,0.999246378115725,0.999246378115725,0.999246378115725,1.99849275623145,3.9969855124629,1.99849275623145,0,1.99849275623145,0,2.99773913434718,0,2.99773913434718,0.999246378115725,1.99849275623145,0,0,0,0,0.999246378115725,1.99849275623145,2.99773913434718,1.99849275623145,0.999246378115725,0,0.999246378115725,0.999246378115725,1.99849275623145,0.999246378115725,0,1.99849275623145,0,2.99773913434718,0,2.99773913434718,0.999246378115725,1.99849275623145,0,0,0,0,0,2.99773913434718,0.999246378115725,0,0,0.999246378115725,0,0.999246378115725,1.99849275623145,0.999246378115725,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.5400070349466
"5","{E6C3C265-FC8E-45C9-829B-B3EBB359C947}","ITA","Italy","Lazio","Roma","Roma","580912330089",NA,NA,12.2629819896311,41.7362235958012,12.2629819896311,41.7362235958012,0,"Not applicable","L",0.00916341922644566,0,0.00916341922644566,382,390,393,390,385,41687.495743679,42560.5323037561,42887.921013785,42560.5323037561,42014.8844537079,389.935731682041,213.417510434672,176.518221247369,17.9510055505799,16.9537274644365,21.9401178951532,19.9455617228665,16.9537274644365,11.9673370337199,16.9537274644365,43.8802357903064,32.9101768427298,36.8992891873031,23.9346740674398,22.9373959812965,25.9292302397265,80.7795249776094,19.9455617228665,60.8339632547429,23.9346740674398,36.8992891873031,0,0,0,0,8.97550277528994,8.97550277528994,12.9646151198632,11.9673370337199,7.97822468914661,5.98366851685996,10.9700589475766,23.9346740674398,15.9564493782932,17.9510055505799,11.9673370337199,15.9564493782932,11.9673370337199,47.8693481348797,9.97278086143326,37.8965672734464,15.9564493782932,21.9401178951532,0,0,0,0,8.97550277528994,7.97822468914661,8.97550277528994,7.97822468914661,8.97550277528994,5.98366851685996,5.98366851685996,19.9455617228665,16.9537274644365,18.9482836367232,11.9673370337199,6.98094660300328,13.9618932060066,32.9101768427298,9.97278086143326,22.9373959812965,7.97822468914661,14.9591712921499,0,0,0,0,TRUE,0.706616545772869
"6","{B2C15D84-394D-44F9-8A7B-704420D628B5}","MYS","Malaysia","MELAKA","MELAKA TENGAH","Alai",NA,NA,NA,102.30494440557,2.17767410631301,102.30494440557,2.17767410631301,0,"Not applicable","L",6.46991324645284,0,6.46991324645284,6619,7471,8317,9129,9879,1023.04308386653,1154.72954820469,1285.48864307568,1410.99264429937,1526.91382769564,8129,4145,3984,767,732,848,754,663,823,497,487,536,472,465,344,302,439,184,255,105,150,0,0,0,0,389.837109775041,367.179684705768,413.866492637568,388.013934733073,330.536645153887,412.106490359246,248.631902361288,248.52908415646,294.889580041775,238.356774398825,238.969727034895,177.737327460665,161.093551177545,235.251696003963,94.6010039797953,140.650692024168,54.9393796572405,85.7113123669276,0,0,0,0,377.162890224959,364.820315294232,434.133507362432,365.986065266927,332.463354846113,410.893509640755,248.368097638712,238.47091584354,241.110419958225,233.643225601175,226.030272965105,166.262672539335,140.906448822455,203.748303996037,89.3989960202047,114.349307975832,50.0606203427595,64.2886876330724,0,0,0,0,TRUE,0.99233499079363
"7","{03E3C7A4-5A4D-4BFC-AC08-39ADED2E8304}","BRA","Brazil","Bahia","CANAVIEIRAS","CANAVIEIRAS","CANAVIEIRAS","290630305000015",NA,-38.9475103234279,-15.6730908748725,-38.9475103234279,-15.6730908748725,0,"Not applicable","L",0.162914681040335,0,0.162914681040335,989,959,911,857,797,6071.32537167111,5887.12379159227,5592.43126242109,5257.56971956024,4889.72118345161,875,473,402,62,61,64,45,79,80,80,56,53,53,52,57,36,97,26,71,24,47,19,28,14,14,26,33,38,24,40,41,45,30,27,27,29,30,16,67,17,50,19,31,14,17,9,8,36,28,26,21,39,39,35,26,26,26,23,27,20,30,9,21,5,16,5,11,5,6,TRUE,2.00291969148072
"8","{F7B104F7-2D32-4FEF-9E1E-D96C58F96778}","IRL","Ireland","Connacht","Mayo County","Killala","157097002/157097009",NA,NA,-9.21004385929238,54.228535226355,-9.22020464399998,54.2320720490001,0,"Not applicable","L",8.06798228740259,0,8.06798228740259,148,159,168,163,158,18.3441156323668,19.7075296320697,20.8230501772812,20.2033165410526,19.583582904824,164.611440165538,88.2555311730895,76.3559089924482,19.8327036344021,13.8828925440815,10.9079869989212,9.91635181720106,6.94144627204074,6.94144627204074,7.93308145376085,9.91635181720106,11.8996221806413,16.8577980892418,12.8912573623614,5.94981109032064,8.92471663548096,21.8159739978423,8.92471663548096,12.8912573623614,7.93308145376085,4.95817590860053,0.991635181720106,3.96654072688043,1.98327036344021,1.98327036344021,13.8828925440815,4.95817590860053,6.94144627204074,5.94981109032064,2.97490554516032,2.97490554516032,5.94981109032064,4.95817590860053,7.93308145376085,5.94981109032064,4.95817590860053,3.96654072688043,5.94981109032064,10.9079869989212,2.97490554516032,7.93308145376085,4.95817590860053,2.97490554516032,0,2.97490554516032,0.991635181720106,1.98327036344021,5.94981109032064,8.92471663548096,3.96654072688043,3.96654072688043,3.96654072688043,3.96654072688043,1.98327036344021,4.95817590860053,3.96654072688043,10.9079869989212,7.93308145376085,1.98327036344021,2.97490554516032,10.9079869989212,5.94981109032064,4.95817590860053,2.97490554516032,1.98327036344021,0.991635181720106,0.991635181720106,0.991635181720106,0,TRUE,0.103048929671625
"9","{B747DB25-58E7-4F8F-9CDB-4F6E655597D9}","CAN","Canada","Quebec / Quebec","Les Moulins","Mascouche","24640080","2464008005",NA,-73.661356740511,45.7324971722957,-73.661356740511,45.7324971722957,0,"Not applicable","L",0.0344352965064829,0,0.0344352965064829,40,46,53,61,70,1161.59882614832,1335.83865007057,1539.11844464653,1771.43820987619,2032.79794575957,51.4642933647069,25.9865006858034,25.4777926789035,3.66649821855654,3.27863872948275,3.29075709770248,3.73316185793308,3.10894779552704,3.21197246568198,4.13920220103145,4.03011750017819,3.81800609735767,4.20586634836107,3.88466948275768,3.26651612832073,2.78168903673071,5.04825040508557,2.01202873473993,3.03622167034564,1.25448790153387,1.78173376881177,0.812083479938652,0.969650288873113,0.557549576441039,0.412100712432075,1.80596483310854,1.50901088404036,1.67869885493646,1.83626625648284,1.55143287676438,1.66657828558674,2.15140105957561,2.01201451205381,1.90292938790631,2.14534077490075,1.9514116653052,1.6423371468873,1.46658889131633,2.66652525693878,0.993886686677182,1.6726385702616,0.612088752160948,1.06054981810065,0.430280211915122,0.63026960618553,0.315134803092765,0.315134803092765,1.860533385448,1.7696278454424,1.61205824276602,1.89689560145024,1.55751491876266,1.54539418009524,1.98780114145584,2.01810298812438,1.91507670945136,2.06052557346032,1.93325781745248,1.62417898143343,1.31510014541438,2.38172514814679,1.01814204806275,1.36358310008404,0.642399149372925,0.721183950711114,0.381803268023531,0.339380682687583,0.242414773348274,0.0969659093393094,TRUE,3.56092738271931
"10","{0D4234B6-A6C4-4EE5-84E6-FB66F7B6D930}","BRA","Brazil","Bahia","PORTO SEGURO","PORTO SEGURO","PORTO SEGURO","292530305000117",NA,-39.0881850392016,-16.4342171443874,-39.0881850392016,-16.4342171443874,0,"Not applicable","L",0.0213565255810809,0,0.0213565255810809,540,630,720,813,910,25288.8137536962,29490.046090039,33689.9426272984,38090.0892602753,42602.8231330817,691,364,327,58,74,68,83,70,72,54,45,40,44,28,14,13,28,14,14,5,9,3,6,2,4,28,38,39,45,28,38,28,27,22,23,15,9,7,17,8,9,3,6,1,5,2,3,30,36,29,38,42,34,26,18,18,21,13,5,6,11,6,5,2,3,2,1,0,1,TRUE,3.80693266101042
"11","{9F56E671-C5CE-4A83-983D-DFE196918D6E}","PHL","Philippines","Misamis Occidental","Lopez Jaena","Jasa-an",NA,NA,NA,123.745484283051,8.53765711205233,123.745484283051,8.53765711205233,0,"Not applicable","L",1.93723616526074,0,1.93723616526074,757,894,1015,1139,1259,390.57802861375,461.406069046282,523.775037032556,588.116168952079,649.867703664843,1007,491,516,97,118,122,93,65,42,58,53,64,70,59,41,33,92,20,72,35,37,16,21,0,0,51,55,64,35,26,22,29,24,33,32,30,18,18,54,16,38,19,19,11,8,0,0,46,63,58,58,39,20,29,29,31,38,29,23,15,38,4,34,16,18,5,13,0,0,TRUE,4.15301854742268
"12","{005BA6FF-82EF-4847-B95B-3047B45A3108}","ITA","Italy","Liguria","Savona","Savona","90560000148",NA,NA,8.45029627590353,44.3026952045215,8.45029627590353,44.3026952045215,0,"Not applicable","L",0.0337665578010741,0,0.0337665578010741,15,15,15,15,15,444.226506248228,444.226506248228,444.226506248228,444.226506248228,444.226506248228,14.9812502831704,6.99125013214618,7.99000015102421,0.998750018878026,0,0,0,1.99750003775605,0,0.998750018878026,0,0,0,0.998750018878026,2.99625005663408,1.99750003775605,4.99375009439013,0,4.99375009439013,0.998750018878026,3.9950000755121,0,0,0,0,0,0,0,0,0,0,0.998750018878026,0,0,0,0.998750018878026,0.998750018878026,0,3.9950000755121,0,3.9950000755121,0.998750018878026,2.99625005663408,0,0,0,0,0.998750018878026,0,0,0,1.99750003775605,0,0,0,0,0,0,1.99750003775605,1.99750003775605,0.998750018878026,0,0.998750018878026,0,0.998750018878026,0,0,0,0,TRUE,1.2527766086771
"13","{A1FC7BDB-DD4F-474C-9435-9353DED76082}","PRT","Portugal","Regiao Autonoma da Madeira","Regiao Autonoma da Madeira","Ilha da Madeira","Sao Vicente","Sao Vicente","31100300111",-17.0397783946071,32.8026626860732,-17.0397783946071,32.8026626860732,0,"Not applicable","L",0.243668417282986,0,0.243668417282986,30,29,28,26,25,123.118130509131,119.014192825493,114.910255141855,106.70237977458,102.598442090942,28.2241462796691,14.1120731398346,14.1120731398346,1.16285813645392,1.54138820768928,1.72019124130774,1.64631305786625,1.5295285880508,1.58875191657528,1.73205086094622,1.73205086094622,1.92497961029315,2.13543321950355,1.89786122688119,1.93570618188664,1.64457610096478,6.03245707030408,1.55204000961483,4.48041706068925,1.44870257700345,3.0317144836858,1.56269181154038,1.46902267214543,0.872711564241171,0.596311107904258,0.414563299671399,0.668377564776337,0.837587074846296,0.744521844307819,0.685298515783333,0.744521844307819,0.8206661238393,0.8206661238393,0.956033731895267,1.03217801142675,1.01525706041975,0.947573256391769,0.829126599342798,3.59570208898662,0.803745172832304,2.79195691615432,0.930652305384773,1.86130461076955,0.939112780888271,0.922191829881275,0.57531233423786,0.346879495643415,0.748294836782526,0.873010642912947,0.882604166461441,0.901791213558429,0.844230072267465,0.844230072267465,0.911384737106922,0.911384737106922,0.968945878397886,1.1032552080768,0.882604166461441,0.988132925494874,0.815449501621983,2.43675498131746,0.748294836782526,1.68846014453493,0.518050271618672,1.17040987291626,0.623579030652105,0.546830842264154,0.297399230003312,0.249431612260842,TRUE,1.27276542187023
"14","{A208442F-E74E-4C97-8AD4-F57D31944FFF}","AUS","Australia","Victoria","Melbourne - West","Hobsons Bay","Altona","2134121",NA,144.834799269361,-37.866292461749,144.834799269361,-37.866292461749,0,"Not applicable","L",0.216296805457455,0,0.216296805457455,516,547,598,647,691,2385.61082263185,2528.93240306128,2764.71951925164,2991.2600818659,3194.68426053994,579.000231426354,309.000123507329,270.000107919025,33.0000131901031,23.0000091931022,27.0000107919025,39.0000155883037,29.0000115913027,41.0000163877038,33.0000131901031,47.0000187859044,40.0000159880037,36.0000143892034,44.0000175868041,40.0000159880037,44.0000175868041,103.00004116911,33.0000131901031,70.0000279790065,19.0000075943018,51.0000203847048,15.0000059955014,36.0000143892034,20.0000079940019,16.0000063952015,17.0000067949016,13.0000051961012,9.00000359730084,16.0000063952015,20.0000079940019,16.0000063952015,19.0000075943018,26.0000103922024,20.0000079940019,24.0000095928022,28.0000111916026,16.0000063952015,19.0000075943018,66.0000263802062,16.0000063952015,50.0000199850047,7.00000279790066,43.000017187104,15.0000059955014,28.0000111916026,15.0000059955014,13.0000051961012,16.0000063952015,10.0000039970009,18.0000071946017,23.0000091931022,9.00000359730084,25.0000099925023,14.0000055958013,21.000008393702,20.0000079940019,12.0000047964011,16.0000063952015,24.0000095928022,25.0000099925023,37.0000147889035,17.0000067949016,20.0000079940019,12.0000047964011,8.00000319760075,0,8.00000319760075,5.00000199850047,3.00000119910028,TRUE,3.87456156443364
"15","{BA9F897A-B5DD-4E4E-AF40-2F9B297F2FC0}","CAN","Canada","Quebec / Quebec","Levis","Levis","24250296","2425029602",NA,-71.3534857585422,46.7127490417838,-71.3534857585422,46.7127490417838,0,"Not applicable","L",0.0229763546391514,0,0.0229763546391514,58,61,65,69,73,2524.33429544863,2654.90331073045,2828.99533110622,3003.08735148199,3177.17937185775,63.1704774873133,32.3500034779558,30.8204740093575,3.81670668165113,3.45028750071048,3.53449392559623,4.09209756756711,3.7325066431827,3.7416049349676,4.46762781312729,4.18314199669868,4.16265151286709,4.95468288783381,5.20731594370736,4.83861261019452,4.40163141690043,8.58711605230884,3.1976725957072,5.38944345660164,1.93681466169034,3.4526287949113,1.39742508190507,2.05520371300623,1.03328400324653,1.0219197097597,1.86183795433531,1.702511968023,1.72754890872922,2.03254436824137,1.88004663848529,1.84818144122283,2.24649640700361,2.1304160455475,2.07123782206007,2.54921578099701,2.71764610938431,2.50141798510331,2.24877249252236,4.83212955630058,1.65699025764806,3.17513929865252,1.02879065447379,2.14634864417873,0.778421247411586,1.36792739676714,0.635027859730505,0.73289953703664,1.95486872731581,1.74777553268748,1.806945016867,2.05955319932574,1.85246000469741,1.89342349374477,2.22113140612367,2.05272595115118,2.09141369080702,2.40546710683681,2.48966983432305,2.3371946250912,2.15285892437807,3.75498649600826,1.54068233805915,2.21430415794911,0.908024007216543,1.30628015073257,0.619003834493483,0.687276316239087,0.398256143516027,0.28902017272306,TRUE,2.78144814535774
"16","{A1307B3E-BABF-47DA-978E-0D05ED8A6452}","BRA","Brazil","Espirito Santo","CARIACICA","ITAQUARI","ITAQUARI","320130810000002",NA,-40.3872348209333,-20.3414768983625,-40.3872348209333,-20.3414768983625,0,"Not applicable","L",0.0325013473103807,0,0.0325013473103807,461,484,499,508,512,14182.3570283987,14904.8901725218,15345.7095177722,15636.2305328249,15761.2924111131,479,271,208,23,23,22,39,54,38,35,32,42,36,39,27,19,50,18,32,14,18,7,11,4,7,8,12,11,22,36,20,20,16,27,20,22,12,13,32,10,22,9,13,6,7,2,5,15,11,11,17,18,18,15,16,15,16,17,15,6,18,8,10,5,5,1,4,2,2,TRUE,3.20858366089236
"17","{E6FAC172-E387-4F21-8C6F-239A9F2D4755}","GBR","United Kingdom of Great Britain and Northern Ireland","England","SOUTH EAST","Canterbury","Canterbury 004","Canterbury 004D","E00122457",1.10394077853478,51.3649591897264,1.10394077853478,51.3649591897264,0,"Not applicable","L",0.109662478423782,0,0.109662478423782,311,324,344,362,380,2835.97456915176,2954.52012992016,3136.8979157177,3301.03792293549,3465.17793015328,344.161735909989,181.970573009879,162.19116290011,29.6691151646543,31.6470561756312,26.7022036481888,30.6580856701427,13.8455870768387,22.7463216262349,14.8345575823271,19.7794101097695,21.7573511207465,26.7022036481888,21.7573511207464,6.92279353841933,20.768380615258,56.3713188128431,12.8566165713502,43.5147022414929,16.8124985933041,26.7022036481888,10.8786755603732,15.8235280878156,3.9558820219539,11.8676460658617,16.8124985933041,13.8455870768387,14.8345575823271,15.8235280878156,7.9117640439078,12.8566165713502,7.9117640439078,10.8786755603732,13.8455870768387,10.8786755603732,9.88970505488475,3.9558820219539,8.90073454939628,33.6249971866082,8.90073454939628,24.7242626372119,6.92279353841933,17.8014690987926,6.92279353841933,10.8786755603732,0.988970505488475,9.88970505488475,12.8566165713502,17.8014690987926,11.8676460658617,14.8345575823271,5.93382303293085,9.88970505488475,6.92279353841933,8.90073454939628,7.9117640439078,15.8235280878156,11.8676460658617,2.96691151646542,11.8676460658617,22.7463216262349,3.9558820219539,18.790439604281,9.88970505488475,8.90073454939628,3.9558820219539,4.94485252744238,2.96691151646542,1.97794101097695,TRUE,1.5007833405068
