"","GUBID","ISOALPHA","COUNTRYNM","NAME1","NAME2","NAME3","NAME4","NAME5","NAME6","CENTROID_X","CENTROID_Y","INSIDE_X","INSIDE_Y","CONTEXT","CONTEXT_NM","WATER_CODE","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","UN_2000_E","UN_2005_E","UN_2010_E","UN_2015_E","UN_2020_E","UN_2000_DS","UN_2005_DS","UN_2010_DS","UN_2015_DS","UN_2020_DS","B_2010_E","F_2010_E","M_2010_E","A00_04B","A05_09B","A10_14B","A15_19B","A20_24B","A25_29B","A30_34B","A35_39B","A40_44B","A45_49B","A50_54B","A55_59B","A60_64B","A65PLUSB","A65_69B","A70PLUSB","A70_74B","A75PLUSB","A75_79B","A80PLUSB","A80_84B","A85PLUSB","A00_04F","A05_09F","A10_14F","A15_19F","A20_24F","A25_29F","A30_34F","A35_39F","A40_44F","A45_49F","A50_54F","A55_59F","A60_64F","A65PLUSF","A65_69F","A70PLUSF","A70_74F","A75PLUSF","A75_79F","A80PLUSF","A80_84F","A85PLUSF","A00_04M","A05_09M","A10_14M","A15_19M","A20_24M","A25_29M","A30_34M","A35_39M","A40_44M","A45_49M","A50_54M","A55_59M","A60_64M","A65PLUSM","A65_69M","A70PLUSM","A70_74M","A75PLUSM","A75_79M","A80PLUSM","A80_84M","A85PLUSM","within_5km_of_coast","distance_to_coast_km"
"1","{387430A7-9353-4525-BDA6-045205B223E3}","ITA","Italy","Sardegna","Cagliari","Cagliari","920090000899",NA,NA,9.13756592568244,39.1969712150014,9.13756592568244,39.1969712150014,0,"Not applicable","L",0.00815223922387054,0,0.00815223922387054,218,210,199,187,174,26741.1190978885,25759.7936264063,24410.4711031184,22938.4828958952,21343.8290047367,197.80219520487,97.8919027289408,99.9102924759293,7.06436411445965,12.1103384819308,13.1195333554251,10.0919487349424,11.1011436084366,9.08275386144812,12.1103384819308,15.1379231024135,15.1379231024135,16.1471179759078,11.1011436084366,10.0919487349424,17.156312849402,38.3494051927809,7.06436411445965,31.2850410783213,10.0919487349424,21.1930923433789,0,0,0,0,3.02758462048271,4.03677949397694,6.05516924096541,6.05516924096541,6.05516924096541,4.03677949397694,5.04597436747118,8.07355898795388,8.07355898795388,8.07355898795388,3.02758462048271,5.04597436747118,9.08275386144812,22.2022872168732,5.04597436747118,17.156312849402,5.04597436747118,12.1103384819308,0,0,0,0,4.03677949397694,8.07355898795388,7.06436411445965,4.03677949397694,5.04597436747118,5.04597436747118,7.06436411445965,7.06436411445965,7.06436411445965,8.07355898795388,8.07355898795388,5.04597436747118,8.07355898795388,16.1471179759078,2.01838974698847,14.1287282289193,5.04597436747118,9.08275386144812,0,0,0,0,TRUE,0.327683269463145
"2","{4CD96699-4B6C-4FAF-91AF-DAD8046E9E92}","ITA","Italy","Calabria","Reggio di Calabria","Reggio di Calabria","800630000917",NA,NA,15.6463632060659,38.0926155243794,15.6463632060659,38.0926155243794,0,"Not applicable","L",0.00729686895334592,0,0.00729686895334592,172,173,172,169,165,23571.7540084272,23708.7990898716,23571.7540084272,23160.6187640942,22612.4384383168,170.956068391201,92.9761073706534,77.979961020548,4.99871545003513,5.99845854004215,7.9979447200562,9.99743090007026,12.9966601700913,6.99820163004918,14.9961463501054,6.99820163004918,14.9961463501054,13.9964032600984,8.99768781006323,13.9964032600984,12.9966601700913,34.9910081502459,8.99768781006323,25.9933203401827,5.99845854004215,19.9948618001405,0,0,0,0,1.99948618001405,1.99948618001405,3.9989723600281,3.9989723600281,6.99820163004918,2.99922927002108,8.99768781006323,4.99871545003513,7.9979447200562,6.99820163004918,5.99845854004215,7.9979447200562,5.99845854004215,21.9943479801546,2.99922927002108,18.9951187101335,2.99922927002108,15.9958894401124,0,0,0,0,2.99922927002108,3.9989723600281,3.9989723600281,5.99845854004215,5.99845854004215,3.9989723600281,5.99845854004215,1.99948618001405,6.99820163004918,6.99820163004918,2.99922927002108,5.99845854004215,6.99820163004918,12.9966601700913,5.99845854004215,6.99820163004918,2.99922927002108,3.9989723600281,0,0,0,0,TRUE,2.34957676060611
"3","{017C8D07-39F5-40F7-BC3C-325F468A18FA}","GBR","United Kingdom of Great Britain and Northern Ireland","England","SOUTH EAST","Brighton and Hove UA","Brighton and Hove 013","Brighton and Hove 013F","E00085726",-0.207618858532803,50.8431848813385,-0.207618858532803,50.8431848813385,0,"Not applicable","L",0.102644589322454,0,0.102644589322454,301,313,330,344,359,2932.44877286636,3049.35702959192,3214.97705995315,3351.37002613298,3497.50534703994,329.74818715728,155.466863014093,174.281324143187,19.8046959253622,19.8046959253622,18.8144611290941,28.7168090917751,22.7754003141665,10.8925827589492,9.90234796268108,17.824226332826,25.7461047029708,27.726574295507,18.8144611290941,20.7949307216303,22.7754003141665,65.3554965536952,24.7558699067027,40.5996266469924,14.8535219440216,25.7461047029708,12.8730523514854,12.8730523514854,8.91211316641298,3.96093918507243,5.94140877760865,5.94140877760865,5.94140877760865,11.8828175552173,11.8828175552173,4.95117398134054,5.94140877760865,12.8730523514854,11.8828175552173,14.8535219440216,8.91211316641298,10.8925827589492,10.8925827589492,32.6777482768476,11.8828175552173,20.7949307216303,6.93164357387676,13.8632871477535,5.94140877760865,7.92187837014487,3.96093918507243,3.96093918507243,13.8632871477535,13.8632871477535,12.8730523514854,16.8339915365578,10.8925827589492,5.94140877760865,3.96093918507243,4.95117398134054,13.8632871477535,12.8730523514854,9.90234796268108,9.90234796268108,11.8828175552173,32.6777482768476,12.8730523514854,19.8046959253622,7.92187837014487,11.8828175552173,6.93164357387676,4.95117398134054,4.95117398134054,0,TRUE,2.14709413755342
"4","{A7E51A73-BF2A-4C7F-9161-EF49C46A0D75}","ASM","American Samoa","Eastern","Sa'Ole","Aunu'u",NA,NA,NA,-170.553463790393,-14.2840392499689,-170.553463790393,-14.2840392499689,0,"Not applicable","L",1.75364013445895,0,1.75364013445895,478,481,437,417,395,272.575878372832,274.286605642954,249.195939014493,237.79109054701,225.24575723278,436,215,221,57,58,49,49,30,27,30,22,19,33,19,16,10,17,6,11,4,7,1,6,5,1,24,24,25,25,18,16,13,11,12,14,11,7,6,9,3,6,2,4,1,3,3,0,33,34,24,24,12,11,17,11,7,19,8,9,4,8,3,5,2,3,0,3,2,1,TRUE,2.24917889343426
"5","{5911F22D-88E0-4B57-B9F6-CA0DA3DFD788}","ITA","Italy","Sardegna","Oristano","San Vero Milis","950500000026",NA,NA,8.45788664935314,40.0281159463749,8.45788664935314,40.0281159463749,0,"Not applicable","L",4.07856644971062,0.020012237281351,4.05855421242927,1,1,1,1,1,0.246393160632797,0.246393160632797,0.246393160632797,0.246393160632797,0.246393160632797,0.995020531861262,0,0.995020531861262,0,0,0,0,0,0,0.995020531861262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995020531861262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,4.02173656843231
"6","{36A16FCF-7628-451C-B4DB-7BBFCEFBC067}","ITA","Italy",NA,NA,NA,NA,NA,NA,12.9156478571403,43.9017859403432,12.9156478571403,43.9017859403432,205,"Uninhabited","L",0.105400981540077,0,0.105400981540077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2.4014537424028
"7","{045F6B57-4166-4BB0-A092-E152BF423943}","PRI","Puerto Rico","Arecibo Municipio","Census Tract 3004 (part)","Block Group 1 (part)","Block 1021",NA,NA,-66.7294359303128,18.4699855600207,-66.7294359303128,18.4699855600207,205,"Uninhabited","L",0.00087299644930274,0,0.00087299644930274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1.68578712954663
"8","{900330EA-F4BB-42AB-B4FB-A35D3E3BC837}","BRA","Brazil","Rio de Janeiro","DUQUE DE CAXIAS","CAMPOS ELYSEOS","CAMPOS ELYSEOS","330170210000346",NA,-43.3088377385017,-22.7487095058074,-43.3088377385017,-22.7487095058074,0,"Not applicable","L",0.116449859968422,0,0.116449859968422,965,1027,1070,1104,1127,8285.35359445003,8816.98485009041,9191.93550118051,9483.7640601686,9679.86238971438,1028,510,518,125,117,127,98,96,75,74,69,66,43,54,36,22,26,7,19,14,5,4,1,1,0,64,56,64,44,42,35,33,39,30,19,33,20,10,21,6,15,10,5,4,1,1,0,61,61,63,54,54,40,41,30,36,24,21,16,12,5,1,4,4,0,0,0,0,0,TRUE,4.15190486556191
"9","{301688F8-BD18-43DB-B207-1FB48707E8D8}","SWE","Sweden","Vastra Gotaland","Sotenas","Tossene",NA,NA,NA,11.3926408541889,58.4564281739813,11.3926408541889,58.4564281739813,0,"Not applicable","L",57.7924434828454,0,57.7924434828454,1248,1189,1154,1122,1081,21.5945186738893,20.573623960941,19.9680084532599,19.4143028462371,18.7048675372391,1158,584,574,44.6345573440644,45.553276178812,59.0787770098854,72.7733247309947,49.6063555244511,42.8245341614907,46.3124835972356,63.8304828973843,73.5504111626279,71.7606508616919,74.8320466275917,92.3595814014522,108.73400183711,312.149516665209,97.0779131309597,215.071603534249,61.2970103228064,153.774593211443,52.724236724696,101.050356486747,51.9721809115563,49.0781755751903,21.205985915493,24.1619718309859,27.2464788732394,34.8292253521127,21.8485915492958,18.25,23.6478873239437,31.6161971830986,36.2429577464789,35.4718309859155,37.1426056338028,46.1390845070423,54.3644366197183,171.832746478873,46.9102112676056,124.922535211268,33.0299295774648,91.8926056338028,28.5316901408451,63.3609154929577,29.8169014084507,33.544014084507,23.4285714285714,21.3913043478261,31.832298136646,37.944099378882,27.7577639751553,24.5745341614907,22.6645962732919,32.2142857142857,37.3074534161491,36.2888198757764,37.6894409937888,46.22049689441,54.3695652173913,140.316770186335,50.167701863354,90.1490683229814,28.2670807453416,61.8819875776398,24.1925465838509,37.6894409937888,22.1552795031056,15.5341614906832,TRUE,4.55936086791195
"10","{C2D1CD31-5F00-41A0-BF66-90FC38F7831B}","NZL","New Zealand","Auckland","Point Chevalier East","MB 0396600",NA,NA,NA,174.711341859254,-36.8690483807968,174.711341859254,-36.8690483807968,0,"Not applicable","L",0.021662194776659,0,0.021662194776659,39,42,46,48,52,1800.37158755596,1938.86170967565,2123.51520583524,2215.84195391503,2400.49545007461,43.4581918437142,23.1777023166476,20.2804895270666,3.13630667548009,2.99052793226006,2.95318967469237,3.15498536671999,3.31895022532713,3.06978083448004,3.02713229076825,2.93673834795264,3.26443586408833,3.14513104939079,2.92107761011205,2.42503712843197,2.09395422629834,5.02094461771219,1.67852722830639,3.3424173894058,1.24580705389766,2.09661033550814,0.856264011086655,1.24034632442149,0.633188643417314,0.607157681004173,1.58896470497453,1.51743359762833,1.49460858473683,1.61799735735536,1.72390923725779,1.65199612132764,1.64846254192603,1.61293574361791,1.79505833602003,1.70079771792832,1.57196532298838,1.30627835284539,1.11661109091009,2.83068360713096,0.90029873024371,1.93038487688725,0.676250695752171,1.25413418113508,0.477415227801878,0.776718953333202,0.370357322147567,0.406361631185636,1.54734197050556,1.47309433463172,1.45858108995555,1.53698800936464,1.59504098806933,1.4177847131524,1.37866974884222,1.32380260433473,1.46937752806831,1.44433333146247,1.34911228712367,1.11875877558658,0.977343135388245,2.19026101058123,0.778228498062678,1.41203251251855,0.569556358145486,0.842476154373061,0.378848783284777,0.463627371088285,0.262831321269747,0.200796049818537,TRUE,0.560861253626391
